レアリティ,キャラクター名,カード名,タイプ,所持スキル
SSR,アイネスフウジン,飛び出せ、キラメケ,根性,"食い下がり,スピードイーター,勢い任せ,スリップストリーム,遊びはおしまいっ！,急ぎ足,じゃじゃウマ娘,2021.02.24"
SSR,ウイニングチケット,B・N・Winner！！,根性,"良バ場○,曇りの日○,位置取り押し上げ,差し切り体勢,外差し準備,差しコーナー○,乗り換え上手,2021.02.24"
SSR,ウオッカ,ロード・オブ・ウオッカ,パワー,"東京レース場○,直線巧者,直線加速,直線回復,末脚,差し切り体勢,上昇気流,マイル直線○,中距離直線○,垂れウマ回避,好転一息,2021.02.24"
SSR,エアシャカール,7センチの先へ,賢さ,"追い上げ,冷静,策士,ペースキープ,まなざし,直線一気,勝利への執念,2021.02.24"
SSR,エルコンドルパサー,パッションチャンピオーナ！,パワー,"根幹距離○,晴れの日○,抜け出し準備,テンポアップ,中距離直線○,ホークアイ,先行直線○,スタミナキープ,キラーチューン,2021.02.24"
SSR,グラスワンダー,千紫万紅にまぎれぬ一凛,根性,"中山レース場○,対抗意識○,末脚,位置取り押し上げ,差し切り体勢,上昇気流,先行焦り,束縛,先行駆け引き,徹底マーク○,豪脚,2021.02.24"
SSR,ゴールドシチー,RUN（my）way,スピード,"［RUNway］ゴールドシチー,札幌レース場○,展開窺い,アクセラレーション,小休憩,慧眼,2021.02.24"
SSR,ゴールドシップ,不沈艦の進撃,スタミナ,"後方待機,直線一気,内弁慶,追い上げ,目くらまし,お見通し,下校の楽しみ,策士,まなざし,追込のコツ○,登山家,ウマ好み,地固め,シンパシー,阪神レース場○,曲線のソムリエ,2021.02.24"
SSR,サイレンススズカ,輝く景色の、その先に,スピード,"集中力,先駆け,急ぎ足,押し切り準備,前途洋々,逃げ直線○,逃げコーナー○,逃げのコツ○,先頭プライド,左回り○,リスタート,逃亡者,2021.02.24"
SSR,サクラバクシンオー,はやい！うまい！はやい！,スピード,"スプリントギア,逃げ駆け引き,逃げ焦り,短距離直線○,短距離コーナー○,大きなリード,善後策,後方釘付,詰め寄り,スプリントターボ,2021.02.24"
SSR,スーパークリーク,一粒の安らぎ,スタミナ,"良バ場○,コーナー回復○,ペースアップ,末脚,先行ためらい,深呼吸,円弧のマエストロ,2021.02.24"
SSR,スペシャルウィーク,日本一のステージを,根性,"道悪○,雨の日○,末脚,外差し準備,食い下がり,栄養補給,差しのコツ○,別腹タンク,全身全霊,2021.02.24"
SSR,スマートファルコン,これが私のウマドル道☆,パワー,"道悪○,曇りの日○,外枠得意○,コーナー回復○,大井レース場○,二の矢,リスタート,逃げのコツ○,押し切り準備,地固め,集中力,レコメンド,ポジションセンス,注目の踊り子,2021.02.24"
SSR,セイウンスカイ,待望の大謀,スタミナ,"内枠得意○,伏兵○,トリック,差し駆け引き,先行ためらい,尻尾上がり,リードキープ,二の矢,急ぎ足,脱出術,2021.02.24"
SSR,タマモクロス,天をも切り裂くイナズマ娘！,スタミナ,"前途洋々,差し駆け引き,差し焦り,中距離コーナー○,イナズマステップ,軽やかステップ,十万バリキ,ウマ込み冷静,迅速果断,2021.02.24"
SSR,トウカイテイオー,夢は掲げるものなのだっ！,スピード,"ポジションセンス,垂れウマ回避,臨機応変,イナズマステップ,軽やかステップ,巧みなステップ,先行直線○,一陣の風,2021.02.24"
SSR,ニシノフラワー,まだ小さな蕾でも,スピード,"阪神レース場○,根幹距離○,良バ場○,上昇気流,先行コーナー○,直線巧者,ハヤテ一文字,2021.02.24"
SSR,ビコーペガサス,必殺！Wキャロットパンチ！,スピード,"外枠得意○,様子見,詰め寄り,積極策,上昇気流,仕掛け準備,抜け駆け禁止,短距離直線○,プランX,2021.02.24"
SSR,ファインモーション,感謝は指先まで込めて,賢さ,"右回り○,秋ウマ娘○,外枠得意○,直線加速,垂れウマ回避,コーナー巧者○,抜け出し準備,スピードスター,2021.02.24"
SSR,駿川たづな,ようこそ、トレセン学園へ！,友人,"なし,展開窺い,尻尾上がり,集中力,コンセントレーション,2021.02.24"
SSR,ハルウララ,うらら〜な休日,根性,"なし,伏兵○,どこ吹く風,2021.02.24"
SSR,メジロマックイーン,『エース』として,スタミナ,"京都レース場○,道悪○,雨の日○,コーナー巧者○,直線巧者,スタミナキープ,抜け出し準備,深呼吸,内弁慶,別腹タンク,先駆け,クールダウン,2021.02.24"
SSR,ライスシャワー,『幸せ』が舞う時,スタミナ,"京都レース場○,おひとり様○,深呼吸,先行駆け引き,先行けん制,先行焦り,直滑降,かく乱,登山家,良バ場○,別腹タンク,火事場のバ鹿力,2021.02.24"
SSR,オグリキャップ,『愛してもらうんだぞ』,パワー,"曇りの日○,コーナー巧者○,コーナー加速○,集中力,垂れウマ回避,末脚,テンポアップ,アクセラレーション,栄養補給,地固め,中山レース場○,スタミナキープ,外差し準備,豪脚,2021.03.02"
SSR,スペシャルウィーク,夕焼けはあこがれの色,スピード,"道悪○,雨の日○,末脚,外差し準備,食い下がり,栄養補給,差しのコツ○,別腹タンク,ふり絞り,食いしん坊,2021.03.02"
SSR,ツインターボ,ターボエンジン全開宣言！,スピード,"対抗意識○,徹底マーク○,先駆け,急ぎ足,先頭プライド,勢い任せ,展開窺い,先手必勝,2021.03.09"
SSR,メジロパーマー,バカと笑え,根性,"中山レース場○,阪神レース場○,先駆け,急ぎ足,先行焦り,勢い任せ,シンパシー,道悪○,逃げのコツ○,一匹狼,リードキープ,先陣の心得,2021.03.18"
SSR,キタサンブラック,迫る熱に押されて,スピード,"コーナー巧者○,コーナー回復○,直線回復,集中力,別腹タンク,長距離コーナー○,逃げ直線○,危険回避,直線巧者,弧線のプロフェッサー,2021.03.30"
SSR,サトノダイヤモンド,その背中を越えて,スタミナ,"良バ場○,晴れの日○,逃げ焦り,中距離コーナー○,束縛,小休憩,読解力,逃げためらい,鋼の意志,2021.03.30"
SSR,マチカネタンホイザ,Just keep going,根性,"［Just,keep,going.］マチカネタンホイザ,隠れ蓑,ペースキープ,食い下がり,深呼吸,がんばり屋,逃げけん制,ウマ込み冷静,どこ吹く風,2021.03.30"
SSR,ユキノビジン,ふるさと直送エール！,賢さ,"中山レース場○,冬ウマ娘○,食い下がり,中距離コーナー○,コーナー加速○,ノンストップガール,2021.04.15"
SSR,ヤエノムテキ,押して忍べど燃ゆるもの,パワー,"ペースアップ,末脚,抜け出し準備,テンポアップ,尻尾上がり,中距離コーナー○,遊びはおしまいっ！,アガッてきた！,2021.04.26"
SSR,ウイニングチケット,夢はホントに叶うんだ！,パワー,"良バ場○,曇りの日○,位置取り押し上げ,差し切り体勢,外差し準備,差しコーナー○,全身全霊,2021.04.26"
SSR,サクラチヨノオー,今ぞ盛りのさくら花,スタミナ,"食い下がり,ギアシフト,中距離コーナー○,先行のコツ○,春ウマ娘○,抜け出し準備,スピードスター,2021.05.17"
SSR,トウカイテイオー,ふたつのノーブルライト,パワー,"ポジションセンス,垂れウマ回避,臨機応変,イナズマステップ,軽やかステップ,巧みなステップ,先行直線○,火事場のバ鹿力,2021.05.26"
SSR,カワカミプリンセス,花嫁たるもの！！,スピード,"根幹距離○,好位追走,軽やかステップ,まき直し,食い下がり,束縛,注目の踊り子,2021.05.28"
SSR,ヒシアケボノ,召しませふぁーすとBite！,根性,"晴れの日○,押し切り準備,短距離コーナー○,善後策,仕掛け準備,栄養補給,スプリントギア,危険回避,シックスセンス,2021.05.28"
SSR,メジロドーベル,おもい、ねがう,賢さ,"京都レース場○,晴れの日○,テンポアップ,食い下がり,差しのコツ○,負けん気,大局観,2021.05.28"
SSR,バンブーメモリー,Head-on fight!,パワー,"［Head-on,fight!］バンブーメモリー,徹底マーク○,直線巧者,詰め寄り,マイル直線○,アクセラレーション,差し直線○,根幹距離○,対抗意識○,末脚,空回り,差しためらい,外差し準備,昇り龍,2021.06.21"
SSR,ミホノブルボン,祝福はフーガ,スタミナ,"雪の日○,先駆け,逃げ直線○,逃げコーナー○,集中力,押し切り準備,逃亡者,2021.06.23"
SSR,セイウンスカイ,明日は全国的に赤でしょう♪,賢さ,"内枠得意○,伏兵○,トリック,差し駆け引き,先行ためらい,尻尾上がり,リードキープ,先行駆け引き,先陣の心得,2021.06.29"
SSR,キングヘイロー,今宵、円舞曲にのせて,パワー,"良バ場○,曇りの日○,外枠得意○,コーナー回復○,様子見,詰め寄り,末脚,電撃の煌めき,2021.06.29"
SSR,ゴールドシップ,ウマ王伝説・最強になった件,スピード,"後方待機,直線一気,内弁慶,追い上げ,目くらまし,お見通し,下校の楽しみ,策士,まなざし,追込のコツ○,登山家,ウマ好み,地固め,シンパシー,阪神レース場○,長距離直線○,内的体験,おひとり様○,2021.06.29"
SSR,メジロライアン,爽快！ウイニングショット！,根性,"道悪○,雨の日○,テンポアップ,中距離直線○,ペースキープ,先行のコツ○,勝利への執念,2021.07.12"
SSR,ナリタブライアン,Two Pieces,スピード,"［Two,Pieces］ナリタブライアン,右回り○,栄養補給,好位追走,中距離直線○,中距離コーナー○,内弁慶,長距離直線○,外差し準備,一匹狼,くじけぬ精神,2021.07.20"
SSR,ツインターボ,集まってコンステレーション,根性,"対抗意識○,徹底マーク○,先駆け,急ぎ足,先頭プライド,勢い任せ,テンポアップ,キラーチューン,2021.07.21"
SSR,スイープトウショウ,ツメたいヒトリジメ？,スピード,"ポジションセンス,トリック,ささやき,お見通し,下校の楽しみ,スリップストリーム,直線一気,天命士,2021.07.29"
SSR,ウイニングチケット,全力！タントラムッッ！,スタミナ,"良バ場○,曇りの日○,位置取り押し上げ,差し切り体勢,外差し準備,差しコーナー○,十万バリキ,おひとり様○,努力家,2021.07.29"
SSR,ダイワスカーレット,トライフル☆バケーション,パワー,"対抗意識○,好位追走,抜け出し準備,前途洋々,テンポアップ,ギアシフト,スタミナキープ,レースプランナー,2021.07.29"
SSR,ビワハヤヒデ,響き合うストレイン,賢さ,"阪神レース場○,道悪○,曇りの日○,外枠得意○,追込駆け引き,内弁慶,コーナー回復○,クールダウン,2021.08.18"
SSR,ナイスネイチャ,願いまでは拭わない,賢さ,"小倉レース場○,コーナー加速○,隠れ蓑,臨機応変,差しためらい,ささやき,小休憩,鋭い眼光,ペースアップ,乗り換え上手,2021.08.20"
SSR,サイレンススズカ,WINNING DREAM,スタミナ,"［WINNING,DREAM］サイレンススズカ,集中力,先駆け,急ぎ足,押し切り準備,前途洋々,逃げ直線○,逃げコーナー○,逃げのコツ○,先頭プライド,左回り○,栄養補給,軽やかステップ,コンセントレーション,2021.08.24"
SSR,ライスシャワー,幸せは曲がり角の向こう,パワー,"京都レース場○,おひとり様○,深呼吸,先行駆け引き,先行けん制,先行焦り,直滑降,かく乱,登山家,良バ場○,パス上手,円弧のマエストロ,2021.08.30"
SSR,樫本理子,徹底管理主義,友人,"なし,ペースアップ,おひとり様○,一匹狼,シンパシー,一陣の風,2021.08.30"
SSR,イクノディクタス,心と足元は温かく,根性,"隠れ蓑,ウマ込み冷静,ホークアイ,読解力,鋭い眼光,トリック,臨機応変,大局観,2021.09.20"
SSR,タマモクロス,やったれハロウィンナイト！,パワー,"前途洋々,差し駆け引き,差し焦り,中距離コーナー○,イナズマステップ,軽やかステップ,十万バリキ,ウマ込み冷静,道悪○,百万バリキ,2021.09.29"
SSR,ゼンノロブロイ,魔力授かりし英雄,スピード,"直線巧者,ポジションセンス,垂れウマ回避,臨機応変,巧みなステップ,読解力,先行のコツ○,差しのコツ○,中距離直線○,右回り○,左回り○,潜伏態勢,2021.09.29"
SSR,ミホノブルボン,幽霊さんとハロウィンの魔法,賢さ,"雪の日○,先駆け,逃げ直線○,逃げコーナー○,集中力,勢い任せ,先手必勝,2021.09.29"
SSR,ナカヤマフェスタ,43、8、1,スタミナ,"道悪○,伏兵○,差し切り体勢,外差し準備,食い下がり,差し直線○,鋭い眼光,ラッキーセブン,ありったけ,中山レース場○,阪神レース場○,ウマ好み,決死の覚悟,2021.10.20"
SSR,カレンチャン,かなし君、うつくし君,賢さ,"スプリントギア,差しためらい,短距離直線○,仕掛け準備,かく乱,後方釘付,抜け駆け禁止,遊びはおしまいっ！,準備万全！,2021.10.28"
SSR,ナリタブライアン,天嗤う鏑矢,スタミナ,"右回り○,栄養補給,好位追走,中距離直線○,中距離コーナー○,内弁慶,長距離直線○,外差し準備,一匹狼,テンポアップ,ハヤテ一文字,2021.10.28"
SSR,ユキノビジン,宵照らす奉納舞,根性,"中山レース場○,冬ウマ娘○,食い下がり,中距離コーナー○,コーナー加速○,雪の日○,遊びはおしまいっ！,曲線のソムリエ,2021.10.28"
SSR,ダイタクヘリオス,おどれ・さわげ・フェスれ！,パワー,"ペースアップ,スタミナキープ,マイルコーナー○,ギアシフト,スピードイーター,シンパシー,スリップストリーム,伏兵○,先駆け,先行コーナー○,脱出術,2021.11.19"
SSR,マヤノトップガン,フォーメーション：PARTY,スピード,"非根幹距離○,コーナー巧者○,直線巧者,直線回復,垂れウマ回避,臨機応変,真っ向勝負,対抗意識○,じゃじゃウマ娘,2021.11.29"
SSR,ナリタタイシン,いじっぱりのマルクト,賢さ,"隠れ蓑,ウマ込み冷静,後方待機,仕掛け抜群,追込コーナー○,まなざし,一匹狼,追い上げ,軽やかステップ,パス上手,眠れる獅子,2021.11.29"
SSR,マーベラスサンデー,スノウクリスタル・デイ,パワー,"直線巧者,ペースアップ,逃げためらい,先行ためらい,尻尾上がり,阪神レース場○,曇りの日○,位置取り押し上げ,迅速果断,2021.11.29"
SSR,マンハッタンカフェ,独奏・螺旋追走曲,スタミナ,"道悪○,雨の日○,長距離直線○,パス上手,スタミナイーター,登山家,非根幹距離○,長距離コーナー○,スタミナグリード,2021.12.14"
SSR,サイレンススズカ,まだ見ぬ景色を求めて,スピード,"集中力,先駆け,急ぎ足,押し切り準備,前途洋々,逃げ直線○,逃げコーナー○,逃げのコツ○,先頭プライド,左回り○,切り開く者,2021.12.22"
SSR,アドマイヤベガ,夜に暁、空に瑞星,パワー,"仕掛け抜群,束縛,追込直線○,冷静,策士,先行けん制,先行焦り,強攻策,2021.12.31"
SSR,マチカネフクキタル,袖振り合えば福となる♪,スピード,"函館レース場○,ウマ込み冷静,トリック,差しコーナー○,小休憩,ラッキーセブン,スリーセブン,スーパーラッキーセブン,2021.12.31"
SSR,メイショウドトウ,飛びも出でぬべき心地すれ,スタミナ,"非根幹距離○,良バ場○,内枠得意○,伏兵○,ホークアイ,差し直線○,ふり絞り,先行コーナー○,中距離コーナー○,キラーチューン,2021.12.31"
SSR,安心沢刺々美,ブスッといっとく？,友人,"なし,引っ込み思案,コーナー回復×,空回り,あやしげな作戦,博打うち,ウマ好み,2022.01.11"
SSR,ニシノフラワー,小さなカップに想いをこめて,賢さ,"阪神レース場○,根幹距離○,良バ場○,上昇気流,先行コーナー○,ギアシフト,決意の直滑降,2022.01.28"
SSR,サクラバクシンオー,爆速！最速！花あらし！,根性,"スプリントギア,逃げ駆け引き,逃げ焦り,短距離直線○,短距離コーナー○,大きなリード,善後策,後方釘付,詰め寄り,地固め,軽い足取り,意気衝天,2022.01.28"
SSR,トーセンジョーダン,In my way,スピード,"［In,my,way］トーセンジョーダン,伏兵○,スタミナキープ,位置取り押し上げ,中距離直線○,中距離コーナー○,先行直線○,ラッキーセブン,直線回復,好転一息,2022.01.28"
SSR,アグネスデジタル,そこに“いる”幸せ,パワー,"左回り○,マイル直線○,差し直線○,ウマ好み,前列狙い,ありったけ,雨の日○,道悪○,栄養補給,集中力,狙うは最前列！,2022.02.08"
SSR,ナリタトップロード,桃色のバックショット,スピード,"非根幹距離○,良バ場○,内枠得意○,好位追走,抜け出し準備,長距離直線○,ありったけ,テンポアップ,先行のコツ○,追い上げ,良バ場の鬼,2022.02.24"
SSR,メジロブライト,リトル・バイ・リトル,スタミナ,"右回り○,別腹タンク,パス上手,追い上げ,スタミナイーター,深呼吸,早仕掛け,怒涛の追い上げ,2022.02.24"
SSR,サトノダイヤモンド,SPECIAL DREAMERS!!,賢さ,"［SPECIAL,DREAMERS!!］サトノダイヤモンド,位置取り押し上げ,追い上げ,差し直線○,差しコーナー○,差しのコツ○,静かな呼吸,逃げためらい,シンパシー,潜伏態勢,2022.02.24"
SSR,マーベラスサンデー,世界にもっと☆マーベラス,根性,"直線巧者,ペースアップ,逃げためらい,先行ためらい,尻尾上がり,阪神レース場○,火事場のバ鹿力,2022.03.07"
SSR,チーム＜シリウス＞,紡がれてゆく想い,グループ,"［紡がれてゆく想い］チーム,なし,あやしげな作戦,徹底マーク○,日本一のウマ娘,コーナー回復○,先駆け,良バ場○,差しコーナー○,一匹狼,左回り○,別腹タンク,2022.03.18"
SSR,シンボリルドルフ,Enchainement,スタミナ,"逃げけん制,先行けん制,差しけん制,追込けん制,中距離直線○,中距離コーナー○,束縛,ありったけ,雨の日○,軽やかステップ,気炎万丈,2022.03.29"
SSR,シリウスシンボリ,Escorte etoile,賢さ,"［Escorte,etoile］シリウスシンボリ,道悪○,中距離コーナー○,差し直線○,一匹狼,静かな呼吸,かく乱,遊びはおしまいっ！,差しのコツ○,ワンチャンス,起死回生,2022.03.29"
SSR,エアシャカール,mag!c number,スピード,"［mag!c,number］エアシャカール,後方待機,直線一気,テンポアップ,追込コーナー○,冷静,ペースキープ,前のめり,追込直線○,冷静沈着,2022.03.29"
SSR,ダイワスカーレット,Outfit as No.1,パワー,"［Outfit,as,No.1］ダイワスカーレット,対抗意識○,好位追走,抜け出し準備,先行コーナー○,直滑降,スタミナキープ,影打,テンポアップ,鍔迫り合い,2022.04.11"
SSR,バンブーメモリー,届け、このオモイ！,根性,"徹底マーク○,末脚,外差し準備,詰め寄り,上昇気流,マイル直線○,根幹距離○,位置取り押し上げ,気合十分,破竹の勢い,2022.04.28"
SSR,シーキングザパール,そのエールは世界を変えた,スピード,"良バ場○,抜け出し準備,差し切り体勢,スプリントギア,展開窺い,鋭い眼光,先行のコツ○,差しのコツ○,真っ向勝負,ウマ好み,上昇気流,軽い足取り,大胆不敵,2022.04.28"
SSR,カワカミプリンセス,フレフレ☆プリンセス！,パワー,"根幹距離○,好位追走,軽やかステップ,まき直し,食い下がり,勝利への執念,2022.04.28"
SSR,ミスターシービー,Dear Mr. C.B.,賢さ,"［Dear,Mr.,C.B.］ミスターシービー,雨の日○,コーナー加速○,末脚,直線一気,中距離コーナー○,策士,尻尾上がり,早仕掛け,コーナー回復○,まなざし,強攻策,2022.05.10"
SSR,ハルウララ,うららか・ぱっしょん♪,パワー,"なし,伏兵○,努力家,2022.05.30"
SSR,イクノディクタス,愛すべき金蘭のつどい,スタミナ,"ウマ込み冷静,位置取り押し上げ,差しコーナー○,読解力,鋭い眼光,差しのコツ○,静かな呼吸,トリック,フルスロットル,勇往邁進,2022.05.30"
SSR,ライスシャワー,あこがれの景色,賢さ,"深呼吸,先行コーナー○,直滑降,かく乱,先行のコツ○,影打,良バ場○,京都レース場○,くじけぬ精神,2022.05.30"
SSR,タイキシャトル,Hands up crook!,スピード,"［Hands,up,crook!］タイキシャトル,道悪○,積極策,マイル直線○,ギアシフト,アクセラレーション,スピードイーター,抜け出し準備,マイルコーナー○,マイルの支配者,2022.06.20"
SSR,エルコンドルパサー,キラキラカケル∞,根性,"根幹距離○,好位追走,抜け出し準備,ホークアイ,先行直線○,先行のコツ○,真っ向勝負,晴れの日○,スピードスター,2022.06.30"
SSR,マチカネタンホイザ,マチタン☆アドベンチャー,賢さ,"コーナー回復○,隠れ蓑,ペースキープ,垂れウマ回避,末脚,ふり絞り,逃げけん制,ペースアップ,差し焦り,アガッてきた！,2022.06.30"
SSR,ゼンノロブロイ,『ロードナイトと夢の石』,スタミナ,"東京レース場○,テンポアップ,中距離コーナー○,束縛,先行のコツ○,差しのコツ○,中距離直線○,読解力,まき直し,千里眼,2022.06.30"
SSR,エアグルーヴ,理想へ向かう青嵐,パワー,"追込焦り,追込ためらい,差し直線○,鋭い眼光,静かな呼吸,恐れぬ心,臨機応変,ワンチャンス,上昇気流,潜伏態勢,2022.07.11"
SSR,玉座に集いし者たち,尊尚親愛,グループ,"なし,闘争心,ポジションセンス,フルスロットル,中山レース場○,光芒円刃,中距離コーナー○,雨の日○,先行直線○,がんばり屋,2022.07.20"
SSR,スペシャルウィーク,私たちと夢、掴みましょう！,根性,"右回り○,中山レース場○,非根幹距離○,冬ウマ娘○,長距離直線○,追い上げ,別腹タンク,影打,直線回復,怒涛の追い上げ,2022.07.20"
SSR,マルゼンスキー,おセンチ注意報♪,スピード,"夏ウマ娘○,集中力,先駆け,逃げ直線○,逃げコーナー○,先頭プライド,スリーセブン,地固め,スリップストリーム,遊びはおしまいっ！,トップランナー,2022.07.29"
SSR,ナカヤマフェスタ,一天地六に身を任せ,賢さ,"道悪○,夏ウマ娘○,伏兵○,垂れウマ回避,差し切り体勢,食い下がり,差し直線○,ラッキーセブン,スリーセブン,ウマ好み,ありったけ,あやしげな作戦,中山レース場○,阪神レース場○,博打うち,2022.07.29"
SSR,サクラチヨノオー,チョベリグ心あれば桜心,根性,"夏ウマ娘○,マイル直線○,ギアシフト,先行直線○,先行コーナー○,先行のコツ○,真っ向勝負,春ウマ娘○,アクセラレーション,アクセル全開！,2022.07.29"
SSR,マンハッタンカフェ,It's on the house,スタミナ,"［It's,on,the,house.］マンハッタンカフェ,深呼吸,長距離直線○,長距離コーナー○,パス上手,追い上げ,スタミナイーター,登山家,非根幹距離○,泰然自若,2022.08.19"
SSR,ライトハロー,from the GROUND UP,友人,"［from,the,GROUND,UP］ライトハロー,なし,おひとり様○,逃げのコツ○,先行のコツ○,お先に失礼っ！,2022.08.24"
SSR,アグネスタキオン,Q≠0,スピード,"テンポアップ,中距離直線○,中距離コーナー○,束縛,先行コーナー○,先行のコツ○,真っ向勝負,攻めの姿勢,差しのコツ○,先行直線○,ささやき,アンストッパブル,2022.08.24"
SSR,ミホノブルボン＿icon,U ＆ Me,スピード,"［U,Me］ミホノブルボン,集中力,ポジションセンス,先駆け,先頭プライド,逃げ直線○,逃げコーナー○,急ぎ足,切り開く者,2022.08.24"
SSR,トウカイテイオー,テイオー・オー・オー！！！,賢さ,"対抗意識○,コーナー巧者○,ポジションセンス,垂れウマ回避,臨機応変,軽やかステップ,先行コーナー○,気迫を込めて,先行直線○,好位追走,弧線のプロフェッサー,2022.08.29"
SSR,ツインターボ,TT Ignition!,根性,"［TT,Ignition!］ツインターボ,対抗意識○,徹底マーク○,先駆け,急ぎ足,勢い任せ,先頭プライド,しゃかりき,遊びはおしまいっ！,出力1000％！,2022.08.29"
SSR,ビワハヤヒデ,ユークロニア・アーキテクト,スタミナ,"阪神レース場○,道悪○,外枠得意○,曇りの日○,スタミナキープ,パス上手,先行直線○,先行のコツ○,尻尾上がり,真っ向勝負,抜かりなし,内弁慶,抜け出し準備,VIP顔パス,2022.08.29"
SSR,ダイイチルビー,嗚呼華麗ナル一族,パワー,"差し切り体勢,詰め寄り,逃げけん制,逃げ焦り,逃げためらい,抜け駆け禁止,布石,束縛,差し直線○,一匹狼,恐れぬ心,差しコーナー○,スプリントギア,電光石火,2022.09.20"
SSR,メジロパーマー,月下の悪魔ちゃん♪,スタミナ,"先駆け,押し切り準備,リードキープ,勢い任せ,逃げのコツ○,地固め,シンパシー,遊びはおしまいっ！,道悪○,パス上手,逃げコーナー○,先手必勝,2022.09.29"
