レアリティ,キャラクター名,カード名,タイプ,所持スキル
SSR,ダイタクヘリオス,お日さま天使ちゃん♪,スピード,"良バ場○,秋ウマ娘○,晴れの日○,マイルコーナー○,ギアシフト,スピードイーター,シンパシー,スリップストリーム,しゃかりき,伏兵○,逃げ直線○,尻尾上がり,いいとこ入った！,2022.09.29"
SSR,シンコウウインディ,とびだせ！恐怖の魔王軍,根性,"抜け出し準備,逃げためらい,道悪○,対抗意識○,まっしぐら,砂浴び○,意気込み十分,泥遊び○,圧迫感,負けん気,泥んこマイスター,2022.09.29"
SSR,タニノギムレット,Welcome to Umayuru,パワー,"［Welcome,to,Umayuru］タニノギムレット,良バ場○,直線一気,上昇気流,ホークアイ,ワンチャンス,前のめり,追込のコツ○,疾風怒濤,2022.10.17"
SSR,シンボリクリスエス,A Win Foreshadowed,スタミナ,"［A,Win,Foreshadowed］シンボリクリスエス,コーナー回復○,差し切り体勢,長距離直線○,パス上手,差しコーナー○,十万バリキ,恐れぬ心,がむしゃら,曇りの日○,対抗意識○,無我夢中,2022.10.19"
SSR,オグリキャップ,駆けよ、駆けよ、駆けよ！！,賢さ,"曇りの日○,コーナー巧者○,垂れウマ回避,好位追走,テンポアップ,先行直線○,先行コーナー○,直滑降,栄養補給,ありったけ,真っ向勝負,確かな足取り,中山レース場○,スリーセブン,快進撃,2022.10.28"
SSR,ヤエノムテキ,天まで焦がせ祈りの火,根性,"ペースアップ,末脚,抜け出し準備,テンポアップ,中距離直線○,中距離コーナー○,尻尾上がり,栄養補給,左回り○,キラーチューン,2022.10.28"
SSR,メジロアルダン,夜風に舞うは祈りの花,スピード,"左回り○,好位追走,軽やかステップ,先行コーナー○,先行のコツ○,先行ためらい,レースプランナー,2022.10.28"
SSR,エイシンフラッシュ,Danke schon,スピード,"［Danke,schön］エイシンフラッシュ,根幹距離○,軽やかステップ,差し直線○,差しコーナー○,がんばり屋,差しのコツ○,ワンチャンス,徹底マーク〇,位置取り押し上げ,鋭脚一閃,2022.11.17"
SSR,ナリタブライアン,GLAD TIDINGS,パワー,"［GLAD,TIDINGS］ナリタブライアン,右回り○,良バ場○,冬ウマ娘○,好位追走,外差し準備,長距離直線○,抜かりなし,確かな足取り,食らいつき,本領発揮,一匹狼,猛追,2022.11.28"
SSR,エアグルーヴ,Are you merry？,賢さ,"［Are,you,merry?］エアグルーヴ,根幹距離○,冬ウマ娘○,位置取り押し上げ,上昇気流,差し直線○,差しのコツ○,静かな呼吸,恐れぬ心,臨機応変,ペースキープ,読解力,迅速果断,2022.11.28"
SSR,サクラローレル,ここからはDon't stop!,スタミナ,"［ここからはDon't,stop!］サクラローレル,春ウマ娘○,冬ウマ娘○,晴れの日○,深呼吸,長距離コーナー○,スタミナイーター,小休憩,マイペース,がむしゃら,先行けん制,静かな呼吸,大胆不敵,2022.11.28"
SSR,ヤマニンゼファー,誰も知らない風へ,根性,"秋ウマ娘○,伏兵○,コーナー加速○,マイルコーナー○,ギアシフト,負けん気,中距離コーナー○,先行のコツ○,向上心,スリップストリーム,風雲の志,2022.12.20"
SSR,スペシャルウィーク,ハネ退け魔を退け願い込め,スタミナ,"左回り○,根幹距離○,垂れウマ回避,末脚,テンポアップ,別腹タンク,軽やかステップ,ありったけ,影打,闘争心,マイペース,ノンストップガール,2022.12.29"
SSR,スイープトウショウ,気まぐれ絶佳,賢さ,"トリック,ささやき,追込直線○,お見通し,下校の楽しみ,スリップストリーム,打開策,切れ味,まなざし,自制心,抜群の切れ味,2022.12.29"
SSR,グラスワンダー,遥か流るる冬夏青青,パワー,"冬ウマ娘○,曇りの日○,長距離コーナー○,スタミナイーター,抜かりなし,先行駆け引き,徹底マーク○,追い上げ,クールダウン,2022.12.29"
SSR,ケイエスミラクル,To you,根性,"［To,you］ケイエスミラクル,上昇気流,短距離コーナー○,善後策,先行直線○,先行のコツ○,攻めの姿勢,軽い足取り,コーナー加速○,鍔迫り合い,2023.01.20"
SSR,マーベラスサンデー,マーベラス☆ショコラSHOW,スピード,"ペースキープ,長距離直線○,スタミナイーター,尻尾上がり,ありったけ,ワンチャンス,前のめり,がむしゃら,阪神レース場○,直線回復,不屈の心,2023.01.30"
SSR,ビコーペガサス,変身！ギャルソンフォーム！,パワー,"雨の日○,垂れウマ回避,位置取り押し上げ,スプリントギア,差しコーナー○,恐れぬ心,一足飛び,短距離直線○,差し駆け引き,差し切り体勢,鋭脚円刃,2023.01.30"
SSR,ヒシアケボノ,フォンデンテで笑って,賢さ,"晴れの日○,押し切り準備,短距離コーナー○,善後策,仕掛け準備,栄養補給,スプリントギア,プランX,2023.01.30"
SSR,メジロラモーヌ,燦爛,賢さ,"直線巧者,集中力,マイル直線○,マイルコーナー○,ギアシフト,中距離直線○,ありったけ,確かな足取り,しとやかな足取り,中距離コーナー○,負けん気,闘争心,優位形成,2023.02.24"
SSR,カツラギエース,掲げよ、燃え盛る灯を,スピード,"東京レース場○,急ぎ足,食い下がり,中距離直線○,逃げコーナー○,先頭プライド,向上心,確かな足取り,粘り腰,地固め,押し切り準備,勝利への執念,2023.02.24"
SSR,シンボリクリスエス,Unyielding resolve,根性,"［Unyielding,resolve］シンボリクリスエス,中距離コーナー○,差しコーナー○,十万バリキ,ありったけ,闘争心,恐れぬ心,曇りの日○,ホークアイ,気炎万丈,2023.02.24"
SSR,祖にして導く者,永劫続く栄光へ,グループ,"なし,コーナー巧者○,マイルコーナー○,中距離コーナー○,直線巧者,ウマ好み,積極策,善後策,深呼吸,ありったけ,快速,神速,スリーセブン,ペースアップ,短距離コーナー○,長距離直線○,2023.03.20"
SSR,ナイスネイチャ,今は瞳を閉じないで,パワー,"小倉レース場○,コーナー巧者○,直線巧者,隠れ蓑,末脚,差し切り体勢,ウマ好み,スリップストリーム,ペースアップ,尻尾上がり,垂れウマ回避,いいとこ入った！,2023.03.29"
SSR,メジロマックイーン,心、夜風にさらわれて,スタミナ,"京都レース場○,道悪○,コーナー回復○,直線回復,別腹タンク,長距離直線○,長距離コーナー○,影打,脇目も振らず,先駆け,抜かりなし,本領発揮,脱兎の先へ,2023.03.29"
SSR,トウカイテイオー,比翼のワルツ,スピード,"ポジションセンス,垂れウマ回避,臨機応変,イナズマステップ,軽やかステップ,巧みなステップ,確かな足取り,先行直線○,先行コーナー○,ライトニングステップ,2023.03.29"
SSR,シンボリルドルフ,絶対皇帝,根性,"右回り○,中山レース場○,コーナー回復○,前途洋々,中距離コーナー○,束縛,闘争心,前のめり,向上心,確かな足取り,食らいつき,型破り,雨の日○,コーナー加速○,コーナー巧者○,円弧のマエストロ,2023.04.19"
SSR,ミホノブルボン,ミッション『心の栄養補給』,賢さ,"左回り○,良バ場○,道悪○,先駆け,急ぎ足,押し切り準備,二の矢,登山家,地固め,集中力,逃げのコツ○,盤石の構え,2023.04.28"
SSR,サクラローレル,刻下、桜花爛漫,スタミナ,"春ウマ娘○,コーナー回復○,直線回復,スタミナイーター,マイペース,大急ぎ,溢れる情熱,進出開始,先行けん制,乗り換え上手,2023.04.28"
SSR,イクノディクタス,たどり着いた景色,パワー,"ウマ込み冷静,位置取り押し上げ,差し直線○,鋭い眼光,差しのコツ○,トリック,読解力,努力家,2023.04.28"
SSR,ジャングルポケット,The frontier,スピード,"［The,frontier］ジャングルポケット,コーナー巧者○,差し切り体勢,中距離直線○,中距離コーナー○,ワンチャンス,切れ味,込み上げる熱,がむしゃら,ありったけ,昂る鼓動,2023.05.19"
SSR,ダイワスカーレット,Something Blue,根性,"［Something,Blue］ダイワスカーレット,集中力,前途洋々,テンポアップ,食い下がり,中距離直線○,危険回避,先頭プライド,逃げのコツ○,気迫を込めて,粘り腰,スタミナキープ,急ぎ足,踏ませぬ影,2023.05.29"
SSR,アストンマーチャン,オートクチュール・メモリー,賢さ,"集中力,先駆け,スプリントギア,短距離直線○,短距離コーナー○,仕掛け準備,逃げのコツ○,軽い足取り,後方釘付,危険回避,コンセントレーション,2023.05.29"
SSR,ウオッカ,ハート・イグニッション！！,スタミナ,"東京レース場○,直線回復,位置取り押し上げ,アクセラレーション,ワンチャンス,フルスロットル,垂れウマ回避,鋭い眼光,百万バリキ,2023.05.29"
SSR,テイエムオペラオー,All'alba vincero!,賢さ,"［All'alba,vincerò!］テイエムオペラオー,中山レース場○,直線巧者,直線回復,内弁慶,長距離直線○,長距離コーナー○,影打,本領発揮,ロックオン,非根幹距離○,深呼吸,コーナー巧者○,怪物,ハヤテ一文字,2023.06.09"
SSR,マヤノトップガン,Chill chill night,パワー,"［Chill,chill,night*］マヤノトップガン,ペースアップ,垂れウマ回避,好位追走,軽やかステップ,先行直線○,真っ向勝負,確かな足取り,直線巧者,ノンストップガール,2023.06.19"
SSR,ゴールドシチー,優しい月,根性,"マイルコーナー○,負けん気,布石,尻尾上がり,一足飛び,向こう見ず,心弾んで,小休憩,ギアシフト,青嵐,ハイボルテージ,2023.06.29"
SSR,メジロパーマー,カモメのように,スピード,"コーナー巧者○,深呼吸,長距離直線○,長距離コーナー○,逃げ直線○,勢い任せ,地固め,遊びはおしまいっ！,しゃかりき,バイブス上昇,道悪○,ブチ☆アゲ↑バイブス,2023.06.29"
SSR,ダイタクヘリオス,＃夏 ＃新しい自分,賢さ,"［＃夏,＃新しい自分］ダイタクヘリオス,良バ場○,夏ウマ娘○,晴れの日○,短距離コーナー○,マイルコーナー○,かく乱,スリップストリーム,軽い足取り,伏兵○,シンパシー,圧倒的リード,2023.06.29"
SSR,ワンダーアキュート,ライフロング・ワンダー,パワー,"負けん気,レコメンド,前列狙い,船橋レース場○,ナイター○,まっしぐら,砂浴び○,泥遊び○,圧迫感,踏み込み上手,尻尾上がり,優雅な砂浴び,2023.07.21"
SSR,マンハッタンカフェ,君と見る泡沫,賢さ,"深呼吸,長距離直線○,マイペース,がむしゃら,型破り,ロックオン,大急ぎ,非根幹距離○,尻尾上がり,差しコーナー○,無我夢中,クールダウン,2023.07.31"
SSR,ジャングルポケット,トばすぜホットサマー！,根性,"位置取り押し上げ,差し切り体勢,中距離直線○,差しコーナー○,十万バリキ,差しのコツ○,ワンチャンス,溢れる情熱,進出開始,がむしゃら,突撃魂,2023.07.31"
SSR,エアグルーヴ,Seaside Bloom,スピード,"［Seaside,Bloom］エアグルーヴ,スタミナキープ,先行コーナー○,直滑降,かく乱,先行のコツ○,真っ向勝負,攻めの姿勢,臨機応変,直線加速,スピードスター,2023.07.31"
SSR,佐岳メイ,L'aubeは迫りて,友人,"なし,一匹狼,直線巧者,ネバーギブアップ,2023.08.24"
SSR,エルコンドルパサー,大望は飛んでいく,スピード,"コーナー巧者○,コーナー回復○,中距離コーナー○,先行コーナー○,気迫を込めて,下り坂巧者,攻めの姿勢,会心の一歩,晴れの日○,テンポアップ,食い下がり,王手,弧線のプロフェッサー,2023.08.24"
SSR,アドマイヤベガ,Precious☆Moments,スタミナ,"後方待機,仕掛け抜群,追込コーナー○,策士,早仕掛け,先行けん制,中距離コーナー○,冷静沈着,2023.08.24"
SSR,ナカヤマフェスタ,鉄火場に咲く菫,賢さ,"ペースアップ,末脚,一匹狼,やまっけ,自信家,ロンシャンレース場○,中山レース場○,阪神レース場○,闘争心,右回りの鬼,右回り○,2023.08.31"
SSR,ヒシアマゾン,炎々、闘志を抱き,パワー,"コーナー巧者○,垂れウマ回避,末脚,後方待機,仕掛け抜群,追込直線○,追込ためらい,直線一気,月影円刃,迫る影,2023.09.20"
SSR,ファインモーション,Hello my clover,スピード,"［Hello,my,clover］ファインモーション,右回り○,ポジションセンス,スタミナキープ,積極策,テンポアップ,攻めの姿勢,コーナー巧者○,余裕綽々,2023.09.29"
SSR,タニノギムレット,フォルトゥーナの喝采,スタミナ,"東京レース場○,直線巧者,垂れウマ回避,直線一気,食い下がり,中距離直線○,追込直線○,前のめり,追込のコツ○,一匹狼,高揚感,2023.09.29"
SSR,タップダンスシチー,高らかにYO-HO!,根性,"内枠得意○,先駆け,急ぎ足,押し切り準備,逃げコーナー○,先頭プライド,勢い任せ,逃亡者,脱出術,2023.09.29"
SSR,ゴールドシップ,波をかきわけ夢がゆく,スピード,"右回り○,ペースアップ,末脚,後方待機,直線一気,追込直線○,追込コーナー○,追込のコツ○,ウマ好み,名前,阪神レース場○,あやしげな作戦,ウママニア,2023.10.19"
SSR,ツルマルツヨシ,天より遣われし微笑み,パワー,"末脚,抜け出し準備,食い下がり,中距離直線○,攻めの姿勢,食らいつき,がんばり屋,ペースキープ,フルスロットル,光芒一閃,2023.10.30"
SSR,キングヘイロー,我が舞、巡りて,根性,"外差し準備,スプリントギア,短距離直線○,仕掛け準備,恐れぬ心,プレッシャー,ひたむき前進,末脚,威風堂々,気骨稜稜,2023.10.30"
SSR,ハルウララ,ああ、楽しや、楽しや！,パワー,"なし,伏兵○,鋼の意志,2023.10.30"
SSR,メジロマックイーン,かっとばせー！ですわ！？,賢さ,"抜け出し準備,先行直線○,栄養補給,尻尾上がり,真っ向勝負,攻めの姿勢,勝利に向かって,狙いを定めて,先駆け,阪神レース場○,かっとばせ！,2023.11.10"
SSR,サウンズオブアース,大地と我らのアンサンブル,スタミナ,"直線回復,垂れウマ回避,末脚,スリップストリーム,遊びはおしまいっ！,中盤巧者,序盤巧者,ロックオン,直線巧者,ハヤテ一文字,好転一息,2023.11.20"
SSR,メジロドーベル,聖夜、変わるために,不明,2023.11.30
SSR,メジロラモーヌ,冬溶かす熾火,不明,2023.11.30
SSR,メジロライアン,選んで選んで、想いを込めて,不明,2023.11.30
SSR,ヴィブロス,会心のウイニングスマイル,不明,2023.12.20
SSR,刻み続ける者たち,この先も！,グループ,"なし,長距離直線○,イナズマステップ,末脚,東京レース場○,全身全霊,コーナー巧者○,先行直線○,別腹タンク,2023.12.28"
SSR,ツインターボ,ウタエミンナノ,不明,2023.12.28
SSR,ドゥラメンテ,血脈の胎動,不明,2023.12.28
SSR,サトノダイヤモンド,百花の願いをこの胸に,不明,2023.12.28
SSR,ホッコータルマエ,白い翼は舞い戻りて,不明,2024.01.19
SSR,ウイニングチケット,小さな笑顔、2つ,不明,2024.01.31
SSR,サクラバクシンオー,感謝感激！サクラ吹雪！！,不明,"［感謝感謝！サクラ吹雪！！］サクラバクシンオー,2024.01.31"
SSR,ノースフライト,ゴー・ファッショニスタ！,不明,2024.01.31
SSR,キタサンブラック,2人のバウンス・シャッセ,根性,2024.01.31
SSR,ドゥラメンテ,激情のピッツィカ,スタミナ,"ペースキープ,末脚,中距離直線○,前のめり,イグニッション,一陣の風,2024.02.21"
SSR,ジェンティルドンナ,Balliamo？,スピード,"［Balliamo?］ジェンティルドンナ,良バ場○,直線巧者,末脚,スタミナキープ,がんばり屋,ウマ好み,しとやかな足取り,下り坂巧者,マイル直線○,中距離直線○,アガッてきた！,2024.02.24"
SSR,都留岐涼花,共に描くキラメキ,不明,2024.02.24
SSR,オルフェーブル,只、君臨す。,根性,"［只、君臨す。］オルフェーヴル,コーナー巧者○,垂れウマ回避,尻尾上がり,遊びはおしまいっ！,快速,込み上げる熱,渾身の足取り,型破り,神速,2024.02.24"
SSR,サウンズオブアース,ブリッランテな旋律を君と,パワー,"ペースアップ,垂れウマ回避,末脚,テンポアップ,シンパシー,中盤巧者,ロックオン,どこ吹く風,2024.03.20"
SSR,シュヴァルグラン,Over the Ocean,スタミナ,"［Over,the,Ocean］シュヴァルグラン,スタミナキープ,抜け出し準備,内弁慶,長距離直線○,長距離コーナー○,先行直線○,攻めの姿勢,本領発揮,勝利に向かって,影打,真打,2024.03.21"
SSR,ラインクラフト,ティアラが描くレイライン,根性,"阪神レース場○,抜け出し準備,積極策,マイル直線○,アクセラレーション,負けん気,スピードイーター,マイルコーナー○,アンストッパブル,2024.03.21"
SSR,バンブーメモリー,Burning!!,パワー,"東京レース場○,仕掛け抜群,詰め寄り,上昇気流,仕掛け準備,負けん気,打開策,根幹距離○,月影一閃,2024.03.29"
SSR,ケイエスミラクル,白い鳥のアラベスク,パワー,"夏ウマ娘○,スプリントギア,短距離直線○,善後策,下り坂巧者,序盤巧者,急発進,軽い足取り,直線巧者,スプリントターボ,2024.03.29"
SSR,ヤマニンゼファー,浚いの風,スピード,"抜け出し準備,積極策,先行直線○,スリップストリーム,真っ向勝負,向こう見ず,しとやかな足取り,向上心,遮二無二,2024.03.29"
SSR,ネオユニヴァース,V.E.R.2285のあなたへ,賢さ,"根幹距離○,中距離コーナー○,ウマ好み,ありったけ,前のめり,自制心,型破り,イグニッション,進出開始,ワンチャンス,起死回生,2024.04.09"
SSR,ヴィブロス,とっておきのレヴェランス,スピード,"外差し準備,展開窺い,負けん気,ささやき,がんばり屋,自信家,差し直線○,リラックス,2024.04.17"
SSR,ノーリーズン,大胆不敵の兵よ,根性,"伏兵○,直線加速,がんばり屋,小休憩,闘争心,食らいつき,自信家,ありったけ,大胆不敵,2024.04.30"
SSR,ナリタタイシン,Take Them Down!,賢さ,"［Take,Them,Down!］ナリタタイシン,直線一気,追込直線○,打開策,たぎる血潮,推力十分,惜しみなし,影踏み,好機を捉えて,追い上げ,飛翔脚,迫る影,2024.04.30"
SSR,ヒシミラクル,わーく・あ・みらくる！,スタミナ,"差し切り体勢,深呼吸,スタミナイーター,小休憩,ロックオン,大急ぎ,進出開始,マイペース,一発必中,2024.04.30"
SSR,ウオッカ,明日のライド・オン,根性,"左回り○,コーナー巧者○,外差し準備,負けん気,フルスロットル,一足飛び,自信家,垂れウマ回避,電光石火,2024.05.10"
SSR,ジャングルポケット,新時代を開く者,パワー,"東京レース場○,ウマ込み冷静,末脚,中距離直線○,前のめり,型破り,自信家,がむしゃら,高揚感,2024.05.24"
SSR,ヴィブロス,アルストロメリアの夢,スピード,"直線巧者,垂れウマ回避,マイル直線○,ウマ好み,進出開始,序盤巧者,差し直線○,尻尾上がり,尻尾の滝登り,2024.05.30"
SSR,セイウンスカイ,幸福の匂いにまどろむ,パワー,"右回り○,中距離コーナー○,逃げ直線○,危険回避,先頭プライド,気迫を込めて,粘り腰,リードキープ,一番乗り,誰より前へ！,2024.05.30"
SSR,ヴィルシーナ,紺碧の戴冠式,スピード,"コーナー加速○,集中力,ペースアップ,臨機応変,ギアシフト,二の矢,しとやかな足取り,積極策,豪風一閃,2024.05.30"
SSR,秋川理事長,謹製ッ！特大夢にんじん！,友人,"なし,直線巧者,中盤巧者,ウママニア,2024.06.26"
SSR,ニシノフラワー,朝焼け苺の畑にて,パワー,"直線巧者,地固め,スリップストリーム,序盤巧者,素直な一歩,胸の高鳴り,トキメキハート,正攻法,2024.06.26"
SSR,ダンツフレーム,そして幕は上がる,スタミナ,"垂れウマ回避,スタミナキープ,好位追走,中距離直線○,中距離コーナー○,先行直線○,遊びはおしまいっ！,ありったけ,揺るがぬ信念,食らいつき,初志貫徹,2024.07.09"
SSR,スマートファルコン,波間のオフショット,スピード,"ポジションセンス,先駆け,急ぎ足,逃げ直線○,逃げコーナー○,先頭プライド,逃げのコツ○,地固め,粘り腰,押し切り準備,先手必勝,2024.07.29"
SSR,コパノリッキー,Lucky☆Summertime,賢さ,"左回り○,地固め,交流重賞○,明るい兆し,砂浴び○,踏み込み上手,自信家,ダート直線○,ダートコーナー○,パイオニア,砂払い,砂の開拓者,砂の妙手,2024.07.29"
SSR,ワンダーアキュート,あの夏のキリトリ線,スタミナ,"ペースアップ,前列狙い,交流重賞○,攻めの姿勢,砂払い,踏み込み上手,全速前進！,2024.07.29"
SSR,ファインモーション,歴史も美食も余すところなく,根性,"夏ウマ娘○,直線回復,中距離コーナー○,しとやかな足取り,探究心,飛躍の予感,揺るがぬ信念,正面突破,コーナー巧者○,札幌レース場○,王道一途,2024.08.14"
SSR,スティルインラブ,Devilish Whispers,スピード,"［Devilish,Whispers］スティルインラブ,コーナー巧者○,直線巧者,垂れウマ回避,中距離コーナー○,尻尾上がり,遊びはおしまいっ！,品行方正,滾る想い,しとやかな足取り,むきだしの情熱,克己心,本能の解放,怜悧清澄,2024.08.24"
SSR,ブエナビスタ,我が学び舎へ、愛をこめて,根性,"コーナー加速○,直線加速,ペースアップ,上昇気流,負けん気,気合十分,自信家,溢れる情熱,曲線のソムリエ,2024.08.24"
SSR,サトノダイヤモンド,今日もたのしく、おいしく。,スタミナ,"末脚,深呼吸,内弁慶,別腹タンク,パス上手,抜かりなし,食らいつき,逃げためらい,食いしん坊,2024.08.24"
SSR,タイキシャトル,月下のSunshine,賢さ,"積極策,マイルコーナー○,負けん気,地固め,向こう見ず,心弾んで,風切り,後先恐れず,直線コース○,抜け出し準備,胆無比,2024.08.30"
SSR,フジキセキ,悩み事かい？ポニーちゃん,根性,"先行コーナー○,遊びはおしまいっ！,真っ向勝負,攻めの姿勢,食らいつき,飛躍の予感,胸の高鳴り,抜け出し準備,流星光底,2024.08.30"
SSR,シンボリクリスエス,Rewarding Job,賢さ,"［Rewarding,Job］シンボリクリスエス,ペースアップ,ペースキープ,深呼吸,別腹タンク,長距離コーナー○,スタミナイーター,中盤巧者,曇りの日○,内的体験,2024.08.30"
SSR,トウカイテイオー,開催☆ハチャメチャGP！,スピード,"中山レース場○,コーナー巧者○,臨機応変,テンポアップ,尻尾上がり,先行直線○,神業ステップ,2024.08.30"
SSR,エスポワールシチー,KNOCK 'EM DOWN!,パワー,"［KNOCK,'EM,DOWN!］エスポワールシチー,負けん気,遊びはおしまいっ！,交流重賞○,明るい兆し,砂浴び○,踏み込み上手,パイオニア,ダートコーナー○,裏腹なキモチ,砂払い,抜群の踏み込み,清濁併呑,2024.09.10"
SSR,シーザリオ,慈恵のMother Sea,賢さ,"［慈恵のMother,Sea］シーザリオ,根幹距離○,ペースアップ,末脚,ありったけ,闘争心,食らいつき,会心の一歩,光芒円刃,2024.09.20"
SSR,ヒシアマゾン,牙を立て、リフレイン,根性,"仕掛け抜群,直線一気,追込コーナー○,ウマ好み,スリップストリーム,渾身の足取り,たぎる血潮,切り崩し,追込ためらい,早仕掛け,強攻策,2024.09.30"
SSR,ナリタブライアン,咆哮のアポヤンド,スピード,"先行直線○,先行コーナー○,真っ向勝負,食らいつき,本領発揮,アグレッシブ,逸る足取り,一匹狼,怪物,影従打破,2024.09.30"
SSR,マチカネフクキタル,メークパワートリオ,パワー,"根性,十万バリキ,小休憩,ラッキーセブン,スリーセブン,プレッシャー,一歩から,鋭脚円刃,2024.09.30"
SSR,エアシャカール,Cocoon,スタミナ,"非根幹距離○,コーナー巧者○,末脚,長距離コーナー○,型破り,端緒,急襲,ペースキープ,連鎖反応,烈火の如く,2024.10.29"
SSR,ダイワスカーレット,緋色の君へ風が吹く,賢さ,"直線巧者,逃げコーナー○,危険回避,先頭プライド,遊びはおしまいっ！,序盤巧者,大詰め,迷いなし,覚悟を決めて,切り込み隊長,スタミナキープ,逃げ直線○,影打,急ぎ足,万里一空,トップランナー,2024.10.29"
SSR,シンボリクリスエス,COOL⇔CRAZY／Buddy,パワー,"［COOL⇔CRAZY/Buddy］シンボリクリスエス,位置取り押し上げ,差しコーナー○,スリップストリーム,キレる脚,プレッシャー,大急ぎ,溢れる情熱,進出開始,曇りの日○,がむしゃら,一歩から,無我夢中,千里の道,2024.11.08"
